,survey_id,pack_type,total packs owned,number free,Percent Free,Purchased
403,104,Kits,4,1,0.25,3
404,104,Stuff Packs,2,0,0.0,2
405,105,Expansion Packs,16,0,0.0,16
406,105,Game Packs,12,0,0.0,12
407,105,Kits,33,1,0.030303030303030304,32
408,105,Stuff Packs,20,0,0.0,20
409,106,Expansion Packs,14,0,0.0,14
410,106,Game Packs,6,0,0.0,6
411,106,Stuff Packs,12,0,0.0,12
412,107,Expansion Packs,14,0,0.0,14
413,107,Game Packs,10,0,0.0,10
414,107,Kits,6,1,0.16666666666666666,5
415,107,Stuff Packs,14,3,0.21428571428571427,11
416,108,Expansion Packs,4,0,0.0,4
417,108,Game Packs,5,0,0.0,5
418,108,Kits,4,0,0.0,4
419,108,Stuff Packs,5,0,0.0,5
420,109,Expansion Packs,6,0,0.0,6
421,109,Game Packs,5,1,0.2,4
422,109,Kits,5,1,0.2,4
423,109,Stuff Packs,7,3,0.42857142857142855,4
424,110,Expansion Packs,10,0,0.0,10
425,110,Game Packs,4,0,0.0,4
426,110,Stuff Packs,6,2,0.3333333333333333,4
427,111,Expansion Packs,16,0,0.0,16
428,111,Game Packs,12,1,0.08333333333333333,11
429,111,Kits,33,2,0.06060606060606061,31
430,111,Stuff Packs,20,3,0.15,17
431,112,Expansion Packs,9,0,0.0,9
432,112,Game Packs,5,0,0.0,5
433,112,Kits,8,0,0.0,8
434,112,Stuff Packs,1,0,0.0,1
435,113,Expansion Packs,10,0,0.0,10
436,113,Game Packs,8,0,0.0,8
437,113,Kits,2,0,0.0,2
438,113,Stuff Packs,9,0,0.0,9
439,114,Expansion Packs,11,0,0.0,11
440,114,Game Packs,10,0,0.0,10
441,114,Kits,4,1,0.25,3
442,114,Stuff Packs,14,1,0.07142857142857142,13
443,115,Expansion Packs,11,0,0.0,11
444,115,Game Packs,9,0,0.0,9
445,115,Kits,3,2,0.6666666666666666,1
446,115,Stuff Packs,16,0,0.0,16
447,116,Expansion Packs,10,0,0.0,10
448,116,Game Packs,8,1,0.125,7
449,116,Stuff Packs,13,0,0.0,13
450,117,Expansion Packs,16,0,0.0,16
451,117,Game Packs,12,0,0.0,12
452,117,Kits,22,1,0.045454545454545456,21
453,117,Stuff Packs,20,0,0.0,20
454,118,Expansion Packs,10,0,0.0,10
455,118,Game Packs,7,0,0.0,7
456,118,Kits,5,2,0.4,3
457,118,Stuff Packs,14,4,0.2857142857142857,10
458,119,Expansion Packs,13,0,0.0,13
459,119,Game Packs,5,0,0.0,5
460,119,Kits,2,2,1.0,0
461,119,Stuff Packs,10,3,0.3,7
462,120,Expansion Packs,16,0,0.0,16
463,120,Game Packs,11,0,0.0,11
464,120,Kits,23,0,0.0,23
465,120,Stuff Packs,15,0,0.0,15
466,121,Expansion Packs,10,0,0.0,10
467,121,Game Packs,6,1,0.16666666666666666,5
468,121,Kits,2,1,0.5,1
469,121,Stuff Packs,11,2,0.18181818181818182,9
470,122,Expansion Packs,16,0,0.0,16
471,122,Game Packs,12,0,0.0,12
472,122,Kits,33,1,0.030303030303030304,32
